[["HAVA","ÜFLEME","AIRBlow","AIR","Steady air blows, like from a compressed can of air.","basınçlı hava, basıncı düşürmek, serbest bırakmak, puflamak, püskürmek, çırpınmak, boşaltmak"],
["KAYA","TONAL","ROCKTonl","ROCK","Tonal rocks, probably pretty rare. Singing rocks.","Eğik, Halka, Wronk, Shing, Çözgü"],
["HALAT & İP","GICIRTI","ROPECreak","ROPE","Rope stretches and creaks, people hanging from nooses.. Ship rope creaks. Tension of rope stretches.","germek, germek, çekmek"],
["HALAT & İP","KULLANMAK & TUTMAK","ROPEHndl","ROPE","Rope handling, tying knots, rigging up a ship sail. Possible overlap with ROPE-MOVEMENT.","tutmak, kapmak, ayarlamak, almak, indirmek, fırlatmak, yakalamak"],
["HALAT & İP","DARBE","ROPEImpt","ROPE","Rope impacts, tossing ropes to ground, ropes banging violently in the wind. Possible overlap with ROPE-MOVEMENT.","vurmak, düşürmek, çarpmak"],
["HALAT & İP","DİĞER","ROPEMisc","ROPE","Rope sounds not fitting another category in this list.","ÇEŞİTLİ"],
["HALAT & İP","HAREKET","ROPEMvmt","ROPE","Ropes zuzzing, moving across objects, zipline. See also ROPE-HANDLE.","zuzz, zipline, zip, knot, tie"],
["KAUÇUK & LASTİK","ÇÖKME & MOLOZ","RUBRCrsh","RUBR","Rubber items crashing, or rubber debris landing.","enkaz, dağınıklık, plop"],
["KAUÇUK & LASTİK","SÜRTÜNME","RUBRFric","RUBR","Rubber squeaks, balloon squeaks, a rubber shoe squeak.","gıcırdamak, gıcırdatmak, sürüklemek, sürtmek, kazımak, inlemek"],
["KAUÇUK & LASTİK","KULLANMAK","RUBRHndl","RUBR","Rubber handling, rubber objects being manipulated or handled. Some overlap with RUBBER-MOVEMENT","tutmak, kapmak, ayarlamak, almak, indirmek, fırlatmak, yakalamak"],
["KAUÇUK & LASTİK","DARBE","RUBRImpt","RUBR","Rubber impacts, drops, bounces. Hitting a balloon or rubber ball.","şaplak, çarpma, vurma, sıçrama, düşme"],
["KAUÇUK & LASTİK","DİĞER","RUBRMisc","RUBR","Rubber sounds not fitting another category in this list.","ÇEŞİTLİ"],
["KAUÇUK & LASTİK","HAREKET","RUBRMvmt","RUBR","Rubber movement, dragging rubber or drag on rubber. Rubber flapping. See also RUBBER-HANDLE.","hareket, sürükleme, kanat çırpma, flop"],
["KAUÇUK & LASTİK","TONAL","RUBRTonl","RUBR","Rubber movement with a tonal quality, a musical quality.","tonal, kauçuk, şarkı söyleme"],
["BİLİMKURGU","ALARM","SCIAlrm","SCI","Overly futuristic alarms, the kind you're hear on a spaceship","bilim kurgu alarmı, uyarı, ikaz"],
["BİLİMKURGU","BİLGİSAYAR","SCICmpt","SCI","Use Sci-Fi for overtly 'science fiction' type computer sounds, a very futuristic computer. Some overlap with USER INTERFACE.","bilgisayar, konsol, arayüz, holoscreen"],
["BİLİMKURGU","KAPI","SCIDoor","SCI","That Star-Trek type door. Spaceship doors.","bilimkurgu kapısı, hava kilidi"],
["BİLİMKURGU","ENERJİ","SCIEnrg","SCI","Energy particles, vortexes, transporters, holograms, force fields.","parçacık, girdap, taşıyıcı, hologram, güç alanı"],
["BİLİMKURGU","DARBE","SCIImpt","SCI","A bolt of SciFi energy, a hi-tech energy impact, more futuristic than just an explosion. Overlap with DESIGNED-IMPACT.","enerji darbesi, enerji dalgası, güç alanı"],
["BİLİMKURGU","MAKİNE","SCIMach","SCI","Future technology machines, transporters, food replicators.","ışınlayıcı, yiyecek çoğaltıcılar, sanal güverte"],
["BİLİMKURGU","MEKANİZMA","SCIMech","SCI","An overly sci-fi sounding gizmo or mechanism. Little unfolding robot or something like that. Similar to MACHINE-MECHANISM but more SciFi.","tricorder, scifi cihazı, gizmo"],
["BİLİMKURGU","DİĞER","SCIMisc","SCI","SCI-FI sounds not fitting another category in this list.","ÇEŞİTLİ"],
["BİLİMKURGU","ESKİ & RETRO","SCIRetro","SCI","Cheesy sci-fi sounds, like from The Jetsons, The Day the Earth Stood Still. Old TV or film sci-fi sounds.","eski̇ bi̇li̇mkurgu"],
["BİLİMKURGU","UZAY GEMİSİ","SCIShip","SCI","Spaceships here, your best Enterprise and Tie Fighter rip-offs! See also SCIFI-VEHICLE for non-spaceships.","uzay gemisi, ufo, ana gemi, savaş kruvazörü, yıldız gemisi"],
["BİLİMKURGU","TAŞIT","SCIVeh","SCI","Various sci-fi vehicles, like a moon rover, landspeeder, speeder bike, hoverboard, podracer. See also SCIFI-SPACESHIP.","ay rover, landspeeder, speeder bike, hoverboard, podracer"],
["BİLİMKURGU","SİLAH","SCIWeap","SCI","Lightsabers, exotic sci-fi weapons. Not a 'blaster' which would go in LASERS-GUN.","ışın kılıçları, egzotik silah"],
["KAR","ÇÖKME & MOLOZ","SNOWCrsh","SNOW","Snow big crashes, a big fall of snow, a roof full of snow collapsing. See also NATURAL DISASTER-AVALANCE for the extreme version of this.","kartopu, kar kazası"],
["KAR","SÜRTÜNME","SNOWFric","SNOW","Snow scrapes, squeaks. Sliing on snow, sledding.","stres, sıyrık, gıcırtı, gıcırtı, gıcırtı"],
["KAR","KULLANMAK & TUTMAK","SNOWHndl","SNOW","Snow being handled, a snowball being formed, etc. Digging out of show with your hands. Some overlap with SNOW-MOVEMENT.","tutmak, kapmak, ayarlamak, almak, indirmek, fırlatmak, yakalamak"],
["KAR","DARBE","SNOWImpt","SNOW","A big impact of snow, like a roof full of snow falling. Or smaller like a snowball. Jumping into a pile of snow.","kartopu, kar sürüklenmesi, devrilme, düşme"],
["KAR","DİĞER","SNOWMisc","SNOW","Snow sounds not fitting another category in this list.","ÇEŞİTLİ"],
["KAR","HAREKET","SNOWMvmt","SNOW","Dragging something through snow, rolling in snow. See also SNOW-HANDLE.","wade, drag, plow, fumble"],
["SPOR","KORT","SPRTCourt","SPRT","Sports played on a court indoors or out, such a basketball, tennis.","basketbol, tenis, eskrim, voleybol, raketbol, badminton, netbol, squash, yakartop, shuffleboard, hentbol"],
["SPOR","SAHA","SPRTField","SPRT","Sports played on a field outdoors such as soccer and football.","futbol, futbol, beyzbol, çim hokeyi, kriket, ragbi, polo, lakros"],
["SPOR","SPOR SALONU","SPRTGym","SPRT","Sports played or performed primarily in a gym and/or ring, such as boxing, wrestling, gymnastics. See also SPORTS-INDOOR.","boks, güreş, jimnastik, ağırlık çalışması, dövüş sanatları, karate, judo, tae kwon do, dojo, kung fu"],
["SPOR","KAPALI ALAN","SPRTIndor","SPRT","Various indoor sports not able to be categorized elsewhere.","bowling, bilardo, ping pong, dart"],
["SPOR","DİĞER","SPRTMisc","SPRT","Sport sounds not fitting another category in this list.","golf"],
["SPOR","KAYKAY","SPRTSkate","SPRT","Wheeled skating sports like skateboarding or roller skating, rollerblading.","kaykay, paten, paten, itmeli scooter"],
["SPOR","KOŞU","SPRTTrck","SPRT","Track and field sports, as in running, long jump, pole vault. Think common summer Olympic games.","uzun atlama, koşu, sırıkla atlama, gülle atma, cirit atma"],
["SPOR","SU","SPRTWatr","SPRT","Sports played in or on water, swimming, diving. Aquatic sports.","yüzme, su topu, su voleybolu, dalış, su kayağı, sörf, kiteboard, scuba, şnorkel"],
["SPOR","KIŞ","SPRTWntr","SPRT","Sports on snow or ice such as hockey, ice skating, snowboard and skiing.","kayak, snowboard, kızak, buz pateni, kızak, curling, buz hokeyi, luge, sürat pateni"],
["SWOOSHES (GEÇİŞ EFEKTİ, NATUREL)","SWISH (KÜÇÜK TINLAYAN NATUREL WHOOSH)","SWSH","SWSH","A swish is smaller than a Whoosh. Arm Swishes, Sword Swishes. Small objects make Swishes.","swish, kungfu, whizby, flutter, swing"],
["SWOOSHES (GEÇİŞ EFEKTİ, NATUREL)","WHOOSH (BÜYÜK TINLAYAN NATUREL WHOOSH)","WHSH","WHSH","A whoosh is larger than a swish. A large object would make a Whoosh. Tanks flying over your head, or an asteroid by. See also DESIGNED-WHOOSH for very stylized whooshes.","woosh"],
["ALET","BAHÇE","TOOLGrdn","TOOL","Hand tools used in a garden, rakes, hoes, etc. Also see MACHINES-GARDEN for powered machines. See also OBJECTS-GARDEN for non-tools.","tırmık, çapa, kürek, mala, süpürge, budama makası, bahçe çatalı, yeke, budama makası, kürek, ot biçme makinesi"],
["ALET","EL ALETİ","TOOLHand","TOOL","Hand tools, not requiring power. Hammers, wrenches, pliers. See also TOOLS-GARDEN.","çekiç, tornavida, pense, İngiliz anahtarı, cırcır, lokma, el testeresi, kelepçe, kesici, levye, keski, kazıyıcı, zımba tabancası, eğe, makas"],
["ALET","DİĞER","TOOLMisc","TOOL","Tool sounds not fitting another category in this list.","ÇEŞİTLİ"],
["ALET","BASINÇLI","TOOLPneu","TOOL","Air tools, such as jackhammers, air ratchets, nail guns. The air-wrench sound in a tire shop.","jackhammer, havalı alet, havalı cırcır, çivi tabancaları"],
["ALET","MOTORLU","TOOLPowr","TOOL","Tools that require power. A sander, electric drill, dremel tool, circular saw.","matkap, elektrikli testere, daire testere, dekupaj testeresi, zımpara, bant zımpara, yönlendirici, elektrikli tornavida, ısı tabancası, matkap presi, masa testeresi"],
["OYUNCAK","ELEKTRONİK","TOYElec","TOY","Remote controlled car, slot cars. Any kids toy that required power. See also AIRCRAFT-REMOTE CONTROLLED.","uzaktan kumandalı araba, slot araba, konuş ve büyü, furby"],
["OYUNCAK","MEKANİK","TOYMech","TOY","Wind up robots, things like that. Toys with some mechanism or mechanical component.","kurmalı oyuncak, oyuncak robot, kurmalı oyuncak"],
["OYUNCAK","DİĞER","TOYMisc","TOY","Toy sounds not fitting another category in this list.","aksiyon figürü, oyuncak bebek, doldurulmuş hayvan"],
["TREN","FREN","TRNBrake","TRN","Screeching metalic train brake wheels, subway brakes. Usually a piercing sound.","kırılmalar, çığlıklar, eziyetler"],
["TREN","RAY TIKIRTISI","TRNClak","TRN","Train clacks isolated, constant clacking of trains passing or running.","clack"],
["TREN","KAPI","TRNDoor","TRN","Train doors, sliding doors in passenger or freight trains. Some overlap with general DOORS category and possibly VEHICLES-DOOR.","tren kapısı, metro kapısı"],
["TREN","DİZEL","TRNDiesl","TRN","Freight trains, large commercial diesel locomotives.","DİZEL TREN"],
["TREN","ELEKTRİKLİ","TRNElec","TRN","Commuter trains, elevated trains, light rail, SUBWAYS have their own category.","banliyö treni, bölgesel tren, şehir hattı, şehirlerarası tren, hafif raylı sistem"],
["TREN","YÜKSEK HIZ","TRNHspd","TRN","Hi-Tech trains, Maglev, monorails, Hyperloops, bullet trains.","yüksek teknoloji treni, maglev, monoray, hyperloop, hızlı tren"],
["TREN","KORNA","TRNHorn","TRN","Train horns, subway horns. A steam train whistle would likely go into WHISTLES-MECHANICAL.","tren kornası, metro kornası"],
["TREN","İÇ","TRNInt","TRN","Interior trains, from Diesel to Commuter, onboard train sounds.","banliyö treni, bölgesel tren, şehir hattı, şehirler arası tren, hafif raylı sistem, yük treni, metro, monoray"],
["TREN","MEKANİZMA","TRNMech","TRN","Coupling, decoupling and other mechanical sounds relating to trains. Levers, coal tender mechanics that are specific to a train.","şönt, dekuple"],
["TREN","DİĞER","TRNMisc","TRN","Train sounds not fitting another category in this list.","ÇEŞİTLİ"],
["TREN","BUHARLI","TRNSteam","TRN","Old steam powered trains, big smoke stack chugs.","buharlı tren, kömür treni"],
["TREN","METRO","TRNSbwy","TRN","Subways, overtly 'underground' sounding trains, above group city trains probably best in TRAINS-ELECTRIC","metro, metro, the tube, rer"],
["TREN","TRAMVAY","TRNTram","TRN","Trolleys, cable cars trams and streetcars. A Tram is 'pulled' along a cable, so not self-powered. An electric tram would go to TRAINS-ELECTRIC.","tramvay, tramvay, teleferik, füniküler, tutma arabası"],
["ARAYÜZ","UYARI","UIAlert","UI","An alert tone or chime or notification. Something that gets Attention of User, startup chimes.","uyarı, ton, kısa mesaj, bildirim, başlangıç"],
["ARAYÜZ","BİP","UIBeep","UI","Interface beeps, beeps while interacting with various technology, phones, computers. Also see BEEPS category.","bilgisayar bip sesi, telefon bip sesi"],
["ARAYÜZ","KLİK","UIClick","UI","Typing clicks, button press clicks, response to input.","tıkla, dokun, yaz"],
["ARAYÜZ","VERİ","UIData","UI","User interface calculations, scanning, thinking, text displayed on screen. Screen gak or garble.","veri, işleme, bilgi, düşünme"],
["ARAYÜZ","ARIZA","UIGlitch","UI","On Screen Glitches or Static. Malfunctioning computer or OS.","aksaklık, arıza, başarısızlık, çekirdek paniği, guru meditasyon hatası"],
["ARAYÜZ","DİĞER","UIMisc","UI","User Interface sounds not fitting another category in this list.","ÇEŞİTLİ"],
["ARAYÜZ","HAREKET","UIMvmt","UI","User interface slides, swipes, scrolls. Open, Close, Appear, DIsappear.","kaydırma, kaydırma, yakınlaştırma, sayfa"],
["BİTKİ","ÇİMEN","VEGEGras","VEGE","Individual movement of grass elements in a studio or exterior environment.","çimen hışırtısı, yürümek, saman, buğday"],
["BİTKİ","YAPRAK","VEGELeaf","VEGE","Individual movement of leaf elements in a studio or exterior environment. Jumping into a pile of leaves.","yaprak girdabı, yaprak düşmesi, düşen yapraklar, yaprak yığını"],
["BİTKİ","DİĞER","VEGEMisc","VEGE","Vegetation and Foliage sounds not fitting another category in this list.","yeşillik"],
["BİTKİ","AĞAÇ","VEGETree","VEGE","Individual movement of tree and brand elements in a studio or exterior environment.","ağaç düşmesi, dal kırılması, dal kırılması, dal"],
["TAŞIT","ALARM","VEHAlrm","VEH","Not sirens, but just Car alarms, car alarm arm and disarm chirps.","araba, oto, otomobil, araba alarmı, kurma sesi, devre dışı bırakma sesi, fob"],
["TAŞIT","ANTİKA","VEHAntq","VEH","Very old vehicles, such a Model A, Model T. Mainly cars, but possible other very old vehicles, trucks, tractors.","araba, oto, otomobil, oldsmobile, model a, model t"],
["TAŞIT","ATV","VEHAtv","VEH","All-Terrain Vehicle, three and four-wheelers, dune buggies, side by side.","dört tekerlekli, üç tekerlekli, dört tekerlekli, dört tekerlekli bisiklet, kumul arabası"],
["TAŞIT","BİSİKLET","VEHBike","VEH","Bicycles, recumbent bikes, unicycles too. Any manner of pedal powered bicycle.","bisiklet, bisiklet, recumbent, tek tekerlekli bisiklet, tandem, bmx"],
["TAŞIT","FREN","VEHBrake","VEH","Brake squeals and screeches of all kinds. TRAINS-BRAKE has its own category.","fren gıcırtısı, gıcırtı, eziyet"],
["TAŞIT","OTOBÜS","VEHBus","VEH","City buses, school buses, Greyhound buses.","şehir içi otobüs, okul otobüsü, greyhound otobüs, otobüs otobüsü, tur otobüsü, çift katlı"],
["TAŞIT","ARABA","VEHCar","VEH","All cars except overtly antique... add ERA to metadata to make searches easier. 1950s, 1960s...","araba, oto, otomobil"],
["TAŞIT","İNŞAAT","VEHCnst","VEH","Cranes, bulldozers, paving vehicles, any construction related vehicle goes here.","vinç, buldozer, beko, ekskavatör, kazıcı, forklift"],
["TAŞIT","KAPI","VEHDoor","VEH","Car, van, truck. Their doors all go here.","araba, oto, otomobil, araba kapısı, kamyonet kapısı, kamyon kapısı"],
["TAŞIT","ELEKTRİKLİ","VEHElec","VEH","Electric golf carts, electric scooters, electric cars. A Tesla. Any variety of electric vehicle, even electric motorcycles.","segway, golf arabası, elektrikli scooter, elektrikli araba, elektrikli motosiklet, tesla, elektrikli gokart"],
["TAŞIT","ACİL","VEHEmrg","VEH","Specifically emegency vehicles like Firetrucks, Ambulances, Police cars. Isolated sirens would go still to VEHICLES-SIREN.","itfaiye aracı, itfaiye aracı, ambulans, polis arabası, SWAT minibüsü"],
["TAŞIT","TARIM","VEHFarm","VEH","I'd put farm tractors here, Some overlap possibly with CONSTRUCTION vehicles. A riding lawn mower would best to MACHINES-GARDEN maybe.","traktör, biçerdöver, hasat makinesi, biçerdöver"],
["TAŞIT","KAMYON & TIR","VEHFrght","VEH","Big Rigs, Lorry, Semi-truck, U-Haul trucks, not for TRAINS, which have their own category.","büyük kamyonlar, kamyon, yarı kamyon, u-haul kamyonu, penske, kapalı kasa kamyon, yük kamyonu"],
["TAŞIT","GEÇİP GİTME","VEHBy","VEH","Generic or general vehicle pass bys, not 'traffic'. Bys for a specific car go with that car. For group passbys use AMBIENCE-TRAFFIC.","araba, oto, otomobil, geçmek"],
["TAŞIT","KORNA","VEHHorn","VEH","Specifically car and vehicles horns. BOATS-HORNS and TRAINS-HORN have their own category. Fog horn would go into HORNS-AIR.","araba, oto, otomobil, araba kornası"],
["TAŞIT","İÇ","VEHInt","VEH","Interior recordings (ambiences) for car, truck, van interiors, from passenger cars, to back of a moving truck, riding inside a bus.","araba, kamyon, minibüs, iç, sürüş, yerleşik, otobüs"],
["TAŞIT","KÜLÜSTÜR","VEHJalop","VEH","Backfiring, poorly running vehicle. False starts, sputtering... In foreign language translate to MALFUNCTIONING. See also CARTOON-VEHICLE.","car, auto, automobile, hoopty, clunker, junker, yanlış çalıştırma, tekleme, arızalı, tekleme, geri tepme"],
["TAŞIT","MEKANİZMA","VEHMech","VEH","Various mechanisms on a vehicle, like seatbelts, window cranks, door locks.","pencere kolu, torpido gözü, ön cam, silecek, bagaj, emniyet kemeri, emniyet kemeri, sinyal, vites"],
["TAŞIT","ASKERİ","VEHMil","VEH","Overtly military ground vehicles. Tanks and military trucks for example. Armored Personnel Carriers, military Jeeps. See also AIRCRAFT-MILITARY and BOATS-MILITARY.","tank, APC, zırhlı personel taşıyıcı, humvee, jeep"],
["TAŞIT","DİĞER","VEHMisc","VEH","Vehicles sounds not fitting another category in this list.","kar arabası"],
["TAŞIT","MOTOSİKLET","VEHMoto","VEH","Scooters, Motorcycles, Vespas, Motocross… All things 2 wheeled and powered. ATV goes to VEHICLES-ATV.","scooter, motosiklet, motorsiklet, vespa, motokros, arazi motosikleti"],
["TAŞIT","YARIŞ","VEHRace","VEH","Racing cars or drag racing cars. Indy and Formula 1 cars, monster trucks, BOATS-RACING has its own category.","araba, araba, otomobil, yarış arabası, drag yarış arabası, indy, formula 1, nascar, grand prix, canavar kamyon"],
["TAŞIT","SİREN","VEHSirn","VEH","Police, Firetruck, Ambulance sirens. Any vehicle siren. See also VEHICLES-EMERGENCY if engine sounds are present also.","ambulans, polis, siren, itfaiye aracı, itfaiyeci"],
["TAŞIT","KAYDIRMA & PATİNAJ","VEHSkid","VEH","Tire skids, peel-outs. Other tire sounds go in VEHICLES-TIRES.","lastik patinajı, soyulma, çuf, yanma"],
["TAŞIT","SÜSPANSİYON","VEHSusp","VEH","Suspension squeaks and rattles, for any car, truck, semi. Suspensions springs. A car or truck on a very rough road.","süspansiyon, amortisör yayları, gıcırtı, tıkırtı"],
["TAŞIT","TEKERLEK","VEHTire","VEH","Tire rolls on various surfaces, tire whines, no engine sounds, isolated tire sounds. A flat tire flop.","lastik, lastik, rulo"],
["TAŞIT","KAMYONET & ARAZİ & PİKAP","VEHTruck","VEH","Passenger Trucks, pickup trucks, Vans and SUVs. Commercial trucks go in VEHICLES-FREIGHT.","araba, oto, otomobil, yolcu kamyonu, kamyonet, minibüs, suv, açık kasa, "],
["TAŞIT","HİZMET & YARDIMCI","VEHUtil","VEH","Golf carts, cushmans, traffic, gator, small motorized utility vehicles.","utv, sxs, yan yana, rzr, ranger, cushman, gator"],
["TAŞIT","VAGON","VEHWagn","VEH","Old wood wagon, horse drawn carts, carriages, buggies. A Stagecoach.","vagon, posta arabası, at arabası, at arabası, tahta araba"],
["TAŞIT","PENCERE","VEHWndw","VEH","Powered windows for any vehicles, crank windows should go in VEHICLES-MECHANISM.","araba, oto, otomobil, otomatik pencere, elektrikli pencere"],
["KONUŞMA","UZAYLI","VOXAlien","VOX","Weird alien vocals here.","uzaylı dili, chewbacca"],
["KONUŞMA","BEBEK","VOXBaby","VOX","Very young babies through toddler, non-word vocals, cut vocals.","coo, babble, fuss, snuffle"],
["KONUŞMA","TEZAHÜRAT","VOXCheer","VOX","A single person cheering. For a group use CROWDS-CHEERING.","alkış, yuh, tezahürat, yay, bağırmak, woohoo, holler"],
["KONUŞMA","ÇOCUK","VOXChld","VOX","Various vocals for a child or a teenager. For non-discernible vocals for a very young child use VOICES-BABY.","çocuk, genç, ara"],
["KONUŞMA","AĞLAMA","VOXCry","VOX","A single person crying.","ağlamak, somurtmak, hıçkırmak, sızlanmak, feryat etmek, yaygara koparmak, yaralanmak"],
["KONUŞMA","ÇABA","VOXEfrt","VOX","A single fight and vocal efforts, single grunts, and things like that. Boxing match vocals, tennis grunts.","çaba, homurdanma, mücadele, zorlanma, sarf etme"],
["KONUŞMA","KADIN","VOXFem","VOX","Any generic female vocal or dialog or misc vocal that doesn't fit somewhere else.","kadın, kadın"],
["KONUŞMA","HOPARLÖR","VOXFutz","VOX","P.A. Speakers, Airport announcements, Hospital announcements.","konuşmacı, halka seslenme, duyuru"],
["KONUŞMA","TARİHİ","VOXHist","VOX","For storing famous speeches, famous news broadcasts, presidential speeches.","konuşma, konferans, yayın, haber, tarihi"],
["KONUŞMA","GÜLME","VOXLaff","VOX","A single person laughing.","kıkırdamak, kıkırdamak, gülmek, hoot, holler, manyakça, histerik"],
["KONUŞMA","ERKEK","VOXMale","VOX","Any generic male vocal or dialog or misc vocal that doesn't fit somewhere else.","erkek, adam"],
["KONUŞMA","DİĞER","VOXMisc","VOX","The Voice category is for single voices. Groups of people go into the CROWDS categories.","ÇEŞİTLİ"],
["KONUŞMA","TEPKİ","VOXReac","VOX","A single Ooo or Aah and things of that nature.","oh, ooh, ooo, ah, ahh, ahhh, er, em, hmm, hm"],
["KONUŞMA","ÇIĞLIK","VOXScrm","VOX","A single scream or yell, battle cry, agonizing death.","bağırmak, bağırmak, çığlık atmak, ölüm, düşmek"],
["KONUŞMA","ŞARKI SÖYLEME","VOXSing","VOX","A single voice singing, a child singing. For a crowd, use CROWDS-SINGING","şarkı söylemek, mırıldanmak, ditty"],
["KONUŞMA","FISILDAMA","VOXWhsp","VOX","A single whispering voice. The crowd equivalent would be CROWDS-QUIET.","fısıltı, mırıltı, sus"],
["SU","BALONCUK","WATRBubl","WATR","Single or continuous bubbles. Water boiling on a stove, fish tank bubbles.","kabarcık, kaynamak, kaynatmak, blub, glub, kazan, iksir"],
["SU","GİDER","WATRDran","WATR","Draining gurgling water, pulling in air with it as it drains, think a kitchen sink drain, or a storm drain, shower drain.","tahliye, gurgle, burble, kanalizasyon, duş, lavabo, fırtına gideri"],
["SU","DAMLAMA","WATRDrip","WATR","Water dripping, slow to fast. A cave drip, a leaking pipe dripping or a kitchen faucet dripping.","damla, plip, plop, trickle, leak, cave"],
["SU","KÖPÜRME","WATRFizz","WATR","That sound of Alka-Seltzer in a cup, air fizzing in water. Carbonated beverages.","fizz, sizzle, seltzer, köpük, tıslama"],
["SU","AKIŞ","WATRFlow","WATR","General water flowing, in our case as in a river, creek or stream. Steady water. Rapids would fall under WATER-TURBULENCE, and WATERFALL has its own subcategory","nehir, dere, akıntı, su yolu, kol, dere, akıntı, rivulet, kaynak"],
["SU","MEMBA & ÇEŞME","WATRFoun","WATR","Water features and fountains, trickles or flows for a fountain, splashy fountains. From tiny to large city fountains.","fıskiye, sprey, damlama, tıslama"],
["SU","DARBE","WATRImpt","WATR","Percussive water impact, large crash or slam of water, as in huge wave hitting an object. Bigger and sharper than a SPLASH","sıçrama, göbek atma, gülle, derinlik saldırısı, sploosh"],
["SU","KÜÇÜK DALGA","WATRLap","WATR","Water splashing against something like against the side of a boat or canoe, or a dock. Also meant for very small waves lapping on shore, like gentle very small waves at night.","dalgalanma, kucak, gövde, tokat, slosh"],
["SU","DİĞER","WATRMisc","WATR","Water sounds not fitting another category in this list.","ÇEŞİTLİ"],
["SU","HAREKET","WATRMvmt","WATR","Movement in water but not underwater (see WATER-UNDERWATER) Drags through water, swimming movements, sweeps of objects through water. Thrashing in water.","slosh, wade, splash, sweep, tread"],
["SU","TESİSAT","WATRPlmb","WATR","Household plumbing, like a sink running, a toilet flush, the shower running. DRAIN has its own subcategory.","tuvalet sifonu, lavabo, duş,"],
["SU","DÖKÜLME","WATRPour","WATR","Pouring water, onto ground, into a cup. Overlap with FOOD & DRINK-POUR.","dökmek, doldurmak, boşaltmak, boşaltmak"],
["SU","SIÇRATMA","WATRSplsh","WATR","Water splashes of all kind, a person diving into a pool, a whale cresting, throwing a rock into water.","sıçramak, yüzmek, yürümek, dalmak, dalmak, batmak"],
["SU","FIŞKIRTMA","WATRSpray","WATR","Big sprays of a wave crash, to a hose spray.","sprey, spritz, fışkırtma, fışkırma, serpme"],
["SU","BUHAR","WATRStm","WATR","Very wet hisses, radiators, saunas. Hot wet steam.","spritz, sis, buhar, ıslak tıslama, sputter"],
["SU","KÖPÜKLÜ DALGA","WATRSurf","WATR","The general roar of the ocean, not the sport. Constant ocean roaring waves.","kıyı şeridi, sahil şeridi, deniz kıyısı, plaj, yıkama"],
["SU","ÇALKANTI & TÜRBÜLANS","WATRTurb","WATR","Very big splashy water. Whirlpools, big rapids on a river. Dangerous water.","girdap, dalga havuzu, akıntı, girdap, girdap"],
["SU","SUALTI","WATRUndwtr","WATR","Specifically underwater sounds, flows, current and movement, Swimming underwater. See also AMBIENCE-UNDERWATER and WATER-MOVEMENT as well.","su altı, akış, türbülanslı"],
["SU","ŞELALE","WATRFall","WATR","Waterfalls from small cascading ones to Niagara falls.","şelale, çağlayan, baraj, sel, niagara"],
["SU","DALGA","WATRWave","WATR","For general water waves, distinct waves. General ocean roar to go in WATER-SURF, and tiny waves to WATER-LAPPING. See also NATURAL DISASTERS-TSUNAMI.","dalga, dalgakıran, gelgit, deniz kıyısı, iskele, alıştırma"],
["SİLAH","ZIRH","WEAPArmr","WEAP","Knights armor movement, hits. Shields, chainmail armor, leather armor with buckles.","zırh, zincir zırh, miğfer, pullu zırh, göğüs zırhı, cuirass, domaru, atel, haramaki, kalkan"],
["SİLAH","OK","WEAPArro","WEAP","Arrow slides, arrow impacts. An arrow by would likely be a SWOOSHES-SWISH. See also WEAPONS-BOW.","ok, sürgü, fletch, sadak"],
["SİLAH","BALTA","WEAPAxe","WEAP","Specifically a weaponized ax. Possible overlap with WEAPONS-SWORD or even WEAPON-POLEARM.","balta, balta, pirzola, fırlatma baltası"],
["SİLAH","KÜNT","WEAPBlnt","WEAP","Blunt weapons, like maces and flails, but also nightsticks.","sopa, topuz, top ve zincir, mınçıka, savaş çekici, savaş çekici, çıta, muşta, flail, tonfa, cop, cudgel"],
["SİLAH","YAYLI","WEAPBow","WEAP","Bows and Crossbows, articulation, twangs, bolts being loaded. Bow releases. See also WEAPON-ARROW.","uzun yay, bileşik kutu, tatar yayı"],
["SİLAH","BIÇAK","WEAPKnif","WEAP","Smaller knives, WEAPONS-SWORDS has it own subcategory here.","sustalı bıçak, kriko bıçağı, kelebek bıçak, av bıçağı, maket bıçağı, satır, kasap bıçağı, hendek bıçağı, şef bıçağı"],
["SİLAH","DİĞER","WEAPMisc","WEAP","Weapon sounds not fitting another category in this list.","Sapan"],
["SİLAH","MIZRAK","WEAPPole","WEAP","A long spear or long poled weapon with sharp components at the end, like a harpoon.","mızrak, kargı, zıpkın, kargı, cirit, sırıklı balta, pollaxe"],
["SİLAH","KUŞATMA","WEAPSiege","WEAP","A siege weapon is a device designed to break or circumvent fortifications, catapults, trebuchets. Ancient artillery.","mancınık, trebuchet, koçbaşı, balista, kuşatma kulesi"],
["SİLAH","KILIÇ","WEAPSwrd","WEAP","Swords, clashing, parrying. Sword rings and hits. STABS would go to GORE category. Sword draws, shings.","falchion, pala, geniş kılıç, rapier, uzun kılıç, samuray, cutlass, eskrim kılıcı, kattana, pala, kılıç, viking kılıcı, folyo"],
["SİLAH","KIRBAÇ","WEAPWhip","WEAP","Whip cracks. Make Indiana Jones proud.","kamçı, at kırbacı, kırbaç, kırbaç şaklaması"],
["HAVA DURUMU","DOLU","HAIL","HAIL","Hail on various surfaces.","dolu, buz, karla karışık yağmur"],
