[["AIR","BLOW","AIRBlow","AIR","Steady air blows, like from a compressed can of air.","compressed air, depressurise, release, puff, sputter, flutter, purge"],
["VEHICLES","DOOR","VEHDoor","VEH","Car, van, truck. Their doors all go here.","car, auto, automobile, car door, van door, truck door"],
["VEHICLES","ELECTRIC","VEHElec","VEH","Electric golf carts, electric scooters, electric cars. A Tesla. Any variety of electric vehicle, even electric motorcycles.","segway, golf cart, electric scooter, electric car, electric motorcycle, tesla, electric gokart"],
["VEHICLES","EMERGENCY","VEHEmrg","VEH","Specifically emegency vehicles like Firetrucks, Ambulances, Police cars. Isolated sirens would go still to VEHICLES-SIREN.","fire truck, firetruck, ambulance, police car, SWAT van"],
["VEHICLES","FARM","VEHFarm","VEH","I'd put farm tractors here, Some overlap possibly with CONSTRUCTION vehicles. A riding lawn mower would best to MACHINES-GARDEN maybe.","tractor, combine, husker, harvester"],
["VEHICLES","FREIGHT","VEHFrght","VEH","Big Rigs, Lorry, Semi-truck, U-Haul trucks, not for TRAINS, which have their own category.","big rigs, lorry, semi-truck, u-haul truck, penske, box truck, freight truck"],
["VEHICLES","GENERIC BY","VEHBy","VEH","Generic or general vehicle pass bys, not 'traffic'. Bys for a specific car go with that car. For group passbys use AMBIENCE-TRAFFIC.","car, auto, automobile, pass by"],
["VEHICLES","HORN","VEHHorn","VEH","Specifically car and vehicles horns. BOATS-HORNS and TRAINS-HORN have their own category. Fog horn would go into HORNS-AIR.","car, auto, automobile, car horn"],
["VEHICLES","INTERIOR","VEHInt","VEH","Interior recordings (ambiences) for car, truck, van interiors, from passenger cars, to back of a moving truck, riding inside a bus.","car, truck, van, interior, driving, onboard, bus"],
["VEHICLES","JALOPY","VEHJalop","VEH","Backfiring, poorly running vehicle. False starts, sputtering... In foreign language translate to MALFUNCTIONING. See also CARTOON-VEHICLE.","car, auto, automobile, hoopty, clunker, junker, false start, misfiring, malfunctioning, misfire, backfire"],
["VEHICLES","MECHANISM","VEHMech","VEH","Various mechanisms on a vehicle, like seatbelts, window cranks, door locks.","window crank, glove box, windshield, wiper, trunk, seat belt, seatbelt, turn signal, gear shift"],
["VEHICLES","MILITARY","VEHMil","VEH","Overtly military ground vehicles. Tanks and military trucks for example. Armored Personnel Carriers, military Jeeps. See also AIRCRAFT-MILITARY and BOATS-MILITARY.","tank, APC, armored personnel carrier, humvee, jeep"],
["VEHICLES","MISC","VEHMisc","VEH","Vehicles sounds not fitting another category in this list.","snowmobile"],
["VEHICLES","MOTORCYCLE","VEHMoto","VEH","Scooters, Motorcycles, Vespas, Motocross… All things 2 wheeled and powered. ATV goes to VEHICLES-ATV.","scooter, motorcycle, motorbike, vespa, motocross, dirt bike"],
["VEHICLES","RACING","VEHRace","VEH","Racing cars or drag racing cars. Indy and Formula 1 cars, monster trucks, BOATS-RACING has its own category.","car, auto, automobile, race car, drag race car, indy, formula 1, nascar, grand prix, monster truck"],
["VEHICLES","SIREN","VEHSirn","VEH","Police, Firetruck, Ambulance sirens. Any vehicle siren. See also VEHICLES-EMERGENCY if engine sounds are present also.","ambulance, police, siren, fire truck, fire fighter"],
["VEHICLES","SKID","VEHSkid","VEH","Tire skids, peel-outs. Other tire sounds go in VEHICLES-TIRES.","tire skid, peel out, chuff, burnout"],
["VEHICLES","SUSPENSION","VEHSusp","VEH","Suspension squeaks and rattles, for any car, truck, semi. Suspensions springs. A car or truck on a very rough road.","suspension, shock springs, squeak, rattle"],
["VEHICLES","TIRE","VEHTire","VEH","Tire rolls on various surfaces, tire whines, no engine sounds, isolated tire sounds. A flat tire flop.","tire, tyre, roll"],
["VEHICLES","TRUCK VAN & SUV","VEHTruck","VEH","Passenger Trucks, pickup trucks, Vans and SUVs. Commercial trucks go in VEHICLES-FREIGHT.","car, auto, automobile, passenger truck, pickup truck, vans, suv, flatbed, "],
["VEHICLES","UTILITY","VEHUtil","VEH","Golf carts, cushmans, traffic, gator, small motorized utility vehicles.","utv, sxs, side by side, rzr, ranger, cushman, gator"],
["VEHICLES","WAGON","VEHWagn","VEH","Old wood wagon, horse drawn carts, carriages, buggies. A Stagecoach.","wagon, stagecoach, buggy, carriage, wood cart"],
["VEHICLES","WINDOW","VEHWndw","VEH","Powered windows for any vehicles, crank windows should go in VEHICLES-MECHANISM.","car, auto, automobile, automatic window, power window"],
["VOICES","ALIEN","VOXAlien","VOX","Weird alien vocals here.","alien language, chewbacca"],
["VOICES","BABY","VOXBaby","VOX","Very young babies through toddler, non-word vocals, cut vocals.","coo, babble, fuss, snuffle"],
["VOICES","CHEER","VOXCheer","VOX","A single person cheering. For a group use CROWDS-CHEERING.","clap, boo, cheer, yay, shout, woohoo, holler"],
["VOICES","CHILD","VOXChld","VOX","Various vocals for a child or a teenager. For non-discernible vocals for a very young child use VOICES-BABY.","child, teen, tween"],
["VOICES","CRYING","VOXCry","VOX","A single person crying.","cry, pout, sob, whimper, bawl, fuss, wounded"],
["VOICES","EFFORTS","VOXEfrt","VOX","A single fight and vocal efforts, single grunts, and things like that. Boxing match vocals, tennis grunts.","effort, grunt, struggle, strain, exert"],
["VOICES","FEMALE","VOXFem","VOX","Any generic female vocal or dialog or misc vocal that doesn't fit somewhere else.","woman, female"],
["VOICES","FUTZED","VOXFutz","VOX","P.A. Speakers, Airport announcements, Hospital announcements.","speaker, public address, announcement"],
["VOICES","HISTORICAL","VOXHist","VOX","For storing famous speeches, famous news broadcasts, presidential speeches.","speech, lecture, broadcast, news, historical"],
["VOICES","LAUGH","VOXLaff","VOX","A single person laughing.","giggle, chuckle, laugh, hoot, holler, maniacal, hysterical"],
["VOICES","MALE","VOXMale","VOX","Any generic male vocal or dialog or misc vocal that doesn't fit somewhere else.","male, man"],
["VOICES","MISC","VOXMisc","VOX","The Voice category is for single voices. Groups of people go into the CROWDS categories.","miscellaneous"],
["VOICES","REACTION","VOXReac","VOX","A single Ooo or Aah and things of that nature.","oh, ooh, ooo, ah, ahh, ahhh, er, em, hmm, hm"],
["VOICES","SCREAM","VOXScrm","VOX","A single scream or yell, battle cry, agonizing death.","shout, yell, scream, death, fall"],
["VOICES","SINGING","VOXSing","VOX","A single voice singing, a child singing. For a crowd, use CROWDS-SINGING","sing, hum, ditty"],
["VOICES","WHISPER","VOXWhsp","VOX","A single whispering voice. The crowd equivalent would be CROWDS-QUIET.","whisper, murmur, hush"],
["WATER","BUBBLES","WATRBubl","WATR","Single or continuous bubbles. Water boiling on a stove, fish tank bubbles.","bubble, boil, simmer, blub, glub, cauldron, potion"],
["WATER","DRAIN","WATRDran","WATR","Draining gurgling water, pulling in air with it as it drains, think a kitchen sink drain, or a storm drain, shower drain.","drain, gurgle, burble, sewer, shower, sink, storm drain"],
["WATER","DRIP","WATRDrip","WATR","Water dripping, slow to fast. A cave drip, a leaking pipe dripping or a kitchen faucet dripping.","drip, plip, plop, trickle, leak, cave"],
["WATER","FIZZ","WATRFizz","WATR","That sound of Alka-Seltzer in a cup, air fizzing in water. Carbonated beverages.","fizz, sizzle, seltzer, foam, hiss"],
["WATER","FLOW","WATRFlow","WATR","General water flowing, in our case as in a river, creek or stream. Steady water. Rapids would fall under WATER-TURBULENCE, and WATERFALL has its own subcategory","river, stream, creek, current, watercourse, tributary, brook, runnel, rivulet, spring"],
["WATER","FOUNTAIN","WATRFoun","WATR","Water features and fountains, trickles or flows for a fountain, splashy fountains. From tiny to large city fountains.","fountain, spray, trickle, hiss"],
["WATER","IMPACT","WATRImpt","WATR","Percussive water impact, large crash or slam of water, as in huge wave hitting an object. Bigger and sharper than a SPLASH","splash, bellyflop, cannonball, depth charge, sploosh"],
["WATER","LAP","WATRLap","WATR","Water splashing against something like against the side of a boat or canoe, or a dock. Also meant for very small waves lapping on shore, like gentle very small waves at night.","ripple, lap, hull, slap, slosh"],
["WATER","MISC","WATRMisc","WATR","Water sounds not fitting another category in this list.","miscellaneous"],
["WATER","MOVEMENT","WATRMvmt","WATR","Movement in water but not underwater (see WATER-UNDERWATER) Drags through water, swimming movements, sweeps of objects through water. Thrashing in water.","slosh, wade, splash, sweep, tread"],
["WATER","PLUMBING","WATRPlmb","WATR","Household plumbing, like a sink running, a toilet flush, the shower running. DRAIN has its own subcategory.","toilet flush, sink, shower,"],
["WATER","POUR","WATRPour","WATR","Pouring water, onto ground, into a cup. Overlap with FOOD & DRINK-POUR.","pour, fill, dump, empty"],
["WATER","SPLASH","WATRSplsh","WATR","Water splashes of all kind, a person diving into a pool, a whale cresting, throwing a rock into water.","splash, swim, wade, dive, plunge, slosh, submerge"],
["WATER","SPRAY","WATRSpray","WATR","Big sprays of a wave crash, to a hose spray.","spray, spritz, squirt, gush, sprinkle"],
["WATER","STEAM","WATRStm","WATR","Very wet hisses, radiators, saunas. Hot wet steam.","spritz, mist, steam, wet hiss, sputter"],
["WATER","SURF","WATRSurf","WATR","The general roar of the ocean, not the sport. Constant ocean roaring waves.","coastline, shoreline, seashore, beach, wash"],
["WATER","TURBULENT","WATRTurb","WATR","Very big splashy water. Whirlpools, big rapids on a river. Dangerous water.","whirlpool, wave pool, rapids, maelstrom, swirl"],
["WATER","UNDERWATER","WATRUndwtr","WATR","Specifically underwater sounds, flows, current and movement, Swimming underwater. See also AMBIENCE-UNDERWATER and WATER-MOVEMENT as well.","underwater, flow, turbulent"],
["WATER","WATERFALL","WATRFall","WATR","Waterfalls from small cascading ones to Niagara falls.","waterfall, cascading, dam, torrent, niagara"],
["WATER","WAVE","WATRWave","WATR","For general water waves, distinct waves. General ocean roar to go in WATER-SURF, and tiny waves to WATER-LAPPING. See also NATURAL DISASTERS-TSUNAMI.","wave, breakwater, tides, seashore, jetty, lapping"],
["WEAPONS","ARMOR","WEAPArmr","WEAP","Knights armor movement, hits. Shields, chainmail armor, leather armor with buckles.","armour, chainmail, helm, scale armor, breastplate, cuirass, domaru, splint, haramaki, shield"],
["WEAPONS","ARROW","WEAPArro","WEAP","Arrow slides, arrow impacts. An arrow by would likely be a SWOOSHES-SWISH. See also WEAPONS-BOW.","arrow, bolt, fletch, quiver"],
["WEAPONS","AXE","WEAPAxe","WEAP","Specifically a weaponized ax. Possible overlap with WEAPONS-SWORD or even WEAPON-POLEARM.","ax, axe, chop, throwing ax"],
["WEAPONS","BLUNT","WEAPBlnt","WEAP","Blunt weapons, like maces and flails, but also nightsticks.","club, bat, mace, ball and chain, nunchuck, war hammer, warhammer, stave, brass knuckles, flail, tonfa, nightstick, cudgel"],
["WEAPONS","BOW","WEAPBow","WEAP","Bows and Crossbows, articulation, twangs, bolts being loaded. Bow releases. See also WEAPON-ARROW.","longbow, compound box, crossbow"],
["WEAPONS","KNIFE","WEAPKnif","WEAP","Smaller knives, WEAPONS-SWORDS has it own subcategory here.","switchblade, jack knife, butterfly knife, hunting knife, utility knife, cleaver, butcher knife, trench knife, chef knife"],
["WEAPONS","MISC","WEAPMisc","WEAP","Weapon sounds not fitting another category in this list.","slingshot"],
["WEAPONS","POLEARM","WEAPPole","WEAP","A long spear or long poled weapon with sharp components at the end, like a harpoon.","spear, pike, harpoon, halberd, javelin, poleaxe, pollaxe"],
["WEAPONS","SIEGE","WEAPSiege","WEAP","A siege weapon is a device designed to break or circumvent fortifications, catapults, trebuchets. Ancient artillery.","catapult, trebuchet, battering ram, ballista, siege tower"],
["WEAPONS","SWORD","WEAPSwrd","WEAP","Swords, clashing, parrying. Sword rings and hits. STABS would go to GORE category. Sword draws, shings.","falchion, scimitar, broadsword, rapier, longsword, samurai, cutlass, fencing sword, kattana, machete, sabre, viking sword, foil"],
["WEAPONS","WHIP","WEAPWhip","WEAP","Whip cracks. Make Indiana Jones proud.","bullwhip, horse whip, lash, whipcrack"],
["WEATHER","HAIL","HAIL","HAIL","Hail on various surfaces.","hail, ice, sleet"],
["WEATHER","MISC","WTHR","WTHR","Weather sounds not fitting another category in this list. See also NATURAL DISASTER category.","miscellaneous"],
["WEATHER","STORM","STORM","STORM","Composite storms, wind, rain, thunder, where elements aren't isolated. Mixed storm composite recordings. Also see WIND-TURBULENT for wind only elements and NATURAL-DISASTER.","hurricane, thunderstorm, typhoon, sleet, sandstorm, tornado, cyclone, hailstorm,"],
["WEATHER","THUNDER","THUN","THUN","Thunder and lightning, dry, wet, distant rumbles to sharp thunder cracks. Combination RAIN & THUNDER may best go into WEATHER-STORM","thunderstorm, lightning, thunderclap, thunderbolt, lightening, thunder, crack, roll, rumble"],
["WHISTLES","HUMAN","WHSTHmn","WHST","Human whistles, wolf-whistles. See also CARTOON-WHISTLES.","whistle, cheering, human, wolf whistle, signal"],
["WHISTLES","MECHANICAL","WHSTMech","WHST","Train whistles, referee whistles, tea pot whistles, etc, any whistle not made by a human.","steamship, referee, toot, police whistle, tea pot, train whistle"],
["WHISTLES","MISC","WHSTMisc","WHST","Whistle sounds not fitting another category in this list.","ref, nose flute"],
["WIND","DESIGNED","WINDDsgn","WIND","Designed or manufactured or artificial winds, wind machines, synth winds.","wind machine, synthetic, artificial, tonal"],
["WIND","GENERAL","WIND","WIND","Base and general wind category.","miscellaneous"],
["WIND","GUST","WINDGust","WIND","For more singular gusts or buffets, accents to cut into other winds. Usually shorter. A constant buffeting wind better off in the GENERAL or TURBULENT category.","gust, blustery, wisps, breeze, buffet, waft, gale, flurry"],
["WIND","INTERIOR","WINDInt","WIND","Interior wind, through window, or crack in door. Wind through chimney or vent pipe, but see also WIND-TONAL for overtly tonal winds and whistles.","interior, shutter, rattle, moan, draft"],
["WIND","TONAL","WINDTonl","WIND","Wind howls, wind in wires, wind whistles, overtly tonal winds.","howl, whistle, moan, tonal"],
["WIND","TURBULENT","WINDTurb","WIND","Extremely violent wind, big buffeting, huge storm winds. Possible overlap with NATURAL DISASTER-TORNADO or WEATHER-STORM.","buffet, turbulent wind, strong wind, violent wind, buffet"],
["WIND","VEGETATION","WINDVege","WIND","Wind through foliage, vegetation, grass, trees, leaves, plants.","foliage, vegetation, grass, tree, leaf, plant, rustle"],
["WINDOWS","COVERING","WNDWCover","WNDW","Window curtains, blinds, shutters. So a window covering, not the window itself.","curtain, blind, shutter, blackout, shades"],
["WINDOWS","HARDWARE","WNDWHdwr","WNDW","Window latches, cranks, locks. Window hardware.","window latch, window cranks, window lock, window seal"],
["WINDOWS","KNOCK","WNDWKnck","WNDW","Knocking on various window surfaces, knocking on GLASS.","knock, pane, rattle"],
["WINDOWS","METAL","WNDWMetl","WNDW","Metal framed windows, open and close.","metal frame"],
["WINDOWS","MISC","WNDWMisc","WNDW","Window sounds not fitting another category in this list.","miscellaneous"],
["WINDOWS","PLASTIC","WNDWPlas","WNDW","Plastic framed windows, plexiglass windows. Vinyl framed windows, open and close.","plastic frame"],
["WINDOWS","WOOD","WNDWWood","WNDW","Wood framed windows, open and close.","wood frame"],
["WINGS","BIRD","WINGBird","WING","Bird wing flaps, hummingbirds, pigeon wings. Group or single.","bird wing, flap, flutter"],
["WINGS","CREATURE","WINGCrea","WING","Dragon wings, fairy wings, any manner of creature and monster wings.","dragon wing, fairy wing, griffin wing, sphinx wing, angel wing, phoenix wing, giant bird wing"],
["WINGS","INSECT","WINGInsc","WING","Fly and bee wings, dragonflies, moths, butterflies. Any insect wings. Some overlap and confusion with ANIMALS-INECTS likely.","fly, bee, dragonfly, moth, butterfly, beetle, scarab, hornet, wasp, locust"],
["WINGS","MISC","WINGMisc","WING","Wing sounds not fitting another category in this list.","miscellaneous"],
["WOOD","BREAK","WOODBrk","WOOD","Wood breaks, shatters, cracks, crunches. Any destruction of wood that breaks the piece.","breaks, cracks, rips, shatters, crunches, splinter"],
["WOOD","CRASH & DEBRIS","WOODCrsh","WOOD","Group wood crashes and debris, and pieces falling, as in after an explosion.","fall, debris, crash, fell, timber"],
["WOOD","FRICTION","WOODFric","WOOD","Wood stress, especially creaks. But also scrapes, squeaks.","stress, scrapes, creaks, squeaks, screech"],
["WOOD","HANDLE","WOODHandl","WOOD","Handling a wooden object, picking up, setting down, etc. Some overlap or confusion with WOOD-MOVEMENT.","handle, grab, set, pickup, set down, toss, catch"],
["WOOD","IMPACT","WOODImpt","WOOD","Singular wood hits, drops, impacts, board hits. Group wood destruction goes into CRASH. Resonant wood bonks or hits. Hitting your head on a doorframe.","hit, drop, impact, crash, clunk, clang, clink, chop"],
["WOOD","MISC","WOODMisc","WOOD","Wood sounds not fitting another category in this list.","miscellaneous"],
["WOOD","MOVEMENT","WOODMvmt","WOOD","Wood movement including rattles, drag, slides, rolls. Group pieces of wood moving together.","drag, roll, rattle, shake"],
["WOOD","TONAL","WOODTonl","WOOD","Tonal bowed wood sounds, ringing wood.","bowed, ring, wronk, shing, warp"]]
