[["ВОЗДУХ","ПОТОК","AIRBlow","AIR","Steady air blows, like from a compressed can of air.","сжатый воздух, разгерметизация, выпуск, пыхтение, распыление, трепыхание, продувка"],
["ПТИЦЫ","ТРОПИЧЕСКИЕ","BIRDTrop","BIRD","Birds living in tropical locations, jungle and tropical rainforest birds. Parrots and Toucans.","попугай, тукан, кукабурра, лирохвост, павлин, макао, птица-носорог, какаду, попугай, ибис, колпица, фламинго"],
["ПТИЦЫ","БОЛОТНЫЕ","BIRDWade","BIRD","Long-legged, long-billed birds that feed primarily in shallow water. Think Herons and Egrets.","журавль, цапля, фламинго, ибис, рейка, колпица, аист, цапля, рейка, сора, лысуха, журавль, цапля, горлица, цапля, аист, бекас"],
["СУДНО","АЭРОЛОДКА","BOATAir","BOAT","Specifically large fan airboats used in swamps. Think the type of boat used in the Everglades. Also hovercraft.","лодка с вентилятором, воздушная лодка, судно на воздушной подушке"],
["СУДНО","РАССЕЧЕНИЕ ВОЛН","BOATWash","BOAT","The waves pushed up by a boat or ship going through the water, a relatively clean recording.","носовой обмыв, вейк"],
["СУДНО","ДВЕРИ","BOATDoor","BOAT","Boat or Submarine doors. Some possible overlap with over DOOR categories or VEHICLES-DOOR.","люк, дверь парома, дверь лодки, водонепроницаемая дверь, дверь судна"],
["СУДНО","ЭЛЕКТРОЛОДКА","BOATElec","BOAT","Any boat powered by electricity. Fairly rare. Possible a a radio controlled boat, or electric trolling motor.","троллинговый мотор"],
["СУДНО","РЫБОЛОВНЫЕ","BOATFish","BOAT","Industrial fishing boats, crab boats, trawlers. Simple fishing boats to BOATS-MOTORBOAT.","краболовные суда, траулеры, сейнер, линейное судно, земснаряд, жаберный аппарат, исследовательское судно"],
["СУДНО","ГУДОК","BOATHorn","BOAT","Horns on boats and ships. Fog horns would go in HORNS-AIR category.","судовой гудок, гудок буксира"],
["СУДНО","ИНТЕРЬЕР","BOATInt","BOAT","Interior ambiences on boats and ships, ferries, cruise ships, navy ships.","корабль, паром, паромы, круизное судно, флот, военное судно, буксир, парусник, яхта, нефтяной танкер, грузовое судно, фрахтователь, подводная лодка"],
["СУДНО","МЕХАНИЗМ","BOATMech","BOAT","All manner of boat mechanisms. Sailing ship rigging, pulleys, ropes, ship wheels. See also BOATS-DOOR.","такелаж, шкив, канат, корабельное колесо, дроссель, сеть, клетка, ловушка, якорь"],
["СУДНО","ВОЕННЫЕ","BOATMil","BOAT","Specifically military boats and ships, destroyers, aircraft carriers. Any military boat.","патрульный катер, эсминец, крейсер, боевой крейсер, фрегат, корвет, быстроходный ударный катер"],
["СУДНО","РАЗНОЕ","BOATMisc","BOAT","Boat sounds not fitting another category in this list.","лодка с веслами, доска с веслами"],
["СУДНО","МОТОРНЫЕ","BOATMotr","BOAT","General small boats, personal fishing boats, speedboats, pontoon boats. You average recreational boat.","маленькая лодка, персональная рыбацкая лодка, скоростная лодка, понтонная лодка, утлая лодка, шлюпка"],
["СУДНО","ГОНОЧНЫЕ","BOATRace","BOAT","Powered racing boats, not for human powered racing boats, those would go under BOATS-ROWING.","гидроплан, судно на подводных крыльях, реактивный катер"],
["СУДНО","ГРЕБНЫЕ","BOATRow","BOAT","Canoes, rowboats, kayaks probably, human powered boats that use oars and paddles, even racing rowboats.","каноэ, гребная лодка, каяк, весло, лопасть, лодка-дракон, гребля"],
["СУДНО","ПАРУСНЫЕ","BOATSail","BOAT","Composite recordings of rigging and sails, isolated elements to CLOTH-FLAP for close sails, or BOATS-MECHANISM for rigging.","парусная лодка, шхуна, ял, шлюп, кетч, моторный парусник"],
["СУДНО","КОРАБЛЬ","BOATShip","BOAT","Large ship, passenger cruise ships, oil tankers, things relating to these.","большой корабль, круизный корабль, нефтяной танкер, грузовой корабль, грузовое судно"],
["СУДНО","ПАРОВЫЕ","BOATStm","BOAT","Old steam paddle boats, big steam ship sounds.","пароход с веслами, пароход с веслами, паровой двигатель"],
["СУДНО","ПОДВОДНЫЕ","BOATSub","BOAT","Relating to a submarine, include sonar pings. Classic 'Dive' alarm would go in ALARMS-SIREN with keyword Klaxon.","подводная лодка, сонар, подводный аппарат, u-boat"],
["СУДНО","ПОД ВОДОЙ","BOATUndwtr","BOAT","Specifically boats and ships recorded underwater, usually hydrophone recordings. SUBMARINES have their own subcategory.","лодка, корабль, подводный, танкер, рыбацкая лодка, моторная лодка, подводный"],
["ПУЛИ","ПРОЛЕТАНИЕ МИМО","BLLTBy","BLLT","Bullet pass bys in air, or underwater.","пуля пролетела, пролетела"],
["ПУЛИ","ПОПАДАНИЕ","BLLTImpt","BLLT","Bullet hits and impacts, on a bullet hit on any material from the ground, to wood, to a person.","удар пули, попадание пули"],
["ПУЛИ","РАЗНОЕ","BLLTMisc","BLLT","Bullet sounds not fitting another category in this list.","разное"],
["ПУЛИ","РИКОШЕТ","BLLTRico","BLLT","Bullet ricochets, that classic old west 'ping' when a bullet bounces off something.","рикошет, рикошет, отклонение"],
["ПУЛИ","ГИЛЬЗА","BLLTShel","BLLT","Bullet shells ejecting and dropping to the ground. See also GUNS-HANDLING for things like loading or unloading a gun.","снаряд, гильза, выброс"],
["МУЛЬТИПЛИКАЦИЯ","ЖИВОТНОЕ","TOONAnml","TOON","Cartoon animals, made from animals calls, props, etc. Very silly or stylized animals calls for use in Cartoons.","подставное животное, охотничий зов, утиный зов"],
["МУЛЬТИПЛИКАЦИЯ","ПРУЖИНА","TOONBoing","TOON","Cartoon boings, like for a bouncing cartoon character. Roger Rabbit or Tigger from Winnie the Pooh.","челюстная арфа, ротовая арфа"],
["МУЛЬТИПЛИКАЦИЯ","МЕТАЛИЧЕСКИЙ ЗВУК","TOONClang","TOON","Cartoon clangs, like a funny anvil hit. Most likely a very metallic resonant hit.","звон, металлический"],
["МУЛЬТИПЛИКАЦИЯ","СКРИП","TOONCreak","TOON","Cartoon creaks, some overlap or confusion with CARTOON-STRETCH possible.","резина, дерево"],
["МУЛЬТИПЛИКАЦИЯ","КЛАКСОН","TOONHorn","TOON","Cartoon horns, as in bulb horns, clown horns.","ламповый рожок, гудок, клоунский рожок"],
["МУЛЬТИПЛИКАЦИЯ","УДАР","TOONImpt","TOON","Cartoon hits, bonk, boink, doink..","бонк, боинк, доинк"],
["МУЛЬТИПЛИКАЦИЯ","МАШИНА","TOONMach","TOON","Cartoon machines, an overly comical sounding machine or contraption. A Rube Goldberg contraption.","приспособление, комическая машина, машина Руба Голдберга"],
["МУЛЬТИПЛИКАЦИЯ","РАЗНОЕ","TOONMisc","TOON","Cartoon sounds not fitting another category in this list.","тун, сквонк, блорб, фламп"],
